time,open,high,low,close,volume
2019-08-05 09:05:00+09:00,26440.81,26454.27,26438.31,26454.27,184
2019-08-05 09:10:00+09:00,26453.77,26462.75,26453.77,26461.75,133
2019-08-05 09:15:00+09:00,26461.66,26461.66,26444.23,26444.23,158
2019-08-05 09:20:00+09:00,26444.23,26450.71,26440.74,26443.24,122
2019-08-05 09:25:00+09:00,26443.73,26457.69,26443.73,26451.71,132
2019-08-05 09:30:00+09:00,26451.22,26456.7,26445.24,26452.22,121
2019-08-05 09:35:00+09:00,26451.22,26463.19,26449.73,26461.69,137
2019-08-05 09:40:00+09:00,26459.7,26472.16,26456.21,26464.69,135
2019-08-05 09:45:00+09:00,26463.2,26478.65,26463.2,26469.18,138
2019-08-05 09:50:00+09:00,26469.68,26478.15,26467.19,26472.68,143
2019-08-05 09:55:00+09:00,26472.18,26479.65,26467.69,26472.19,142
2019-08-05 10:00:00+09:00,26477.67,26483.15,26473.18,26479.67,153
2019-08-05 10:05:00+09:00,26480.17,26489.64,26478.67,26483.66,127
2019-08-05 10:10:00+09:00,26483.66,26497.12,26483.16,26495.13,127
2019-08-05 10:15:00+09:00,26495.63,26499.12,26400.95,26411.91,304
2019-08-05 10:20:00+09:00,26411.42,26415.4,26358.1,26374.05,292
2019-08-05 10:25:00+09:00,26374.05,26374.55,26343.65,26367.08,261
2019-08-05 10:30:00+09:00,26368.07,26370.57,26345.16,26345.16,247
2019-08-05 10:35:00+09:00,26343.16,26344.16,26289.35,26312.27,329
2019-08-05 10:40:00+09:00,26310.78,26335.2,26274.4,26316.27,282
2019-08-05 10:45:00+09:00,26316.27,26330.22,26308.29,26314.78,245
2019-08-05 10:50:00+09:00,26313.78,26331.23,26313.29,26323.26,238
2019-08-05 10:55:00+09:00,26322.26,26332.23,26304.82,26329.24,234
2019-08-05 11:00:00+09:00,26328.25,26328.25,26296.36,26314.8,245
2019-08-05 11:05:00+09:00,26316.79,26335.73,26307.33,26313.31,229
2019-08-05 11:10:00+09:00,26313.31,26319.29,26281.42,26284.91,231
2019-08-05 11:15:00+09:00,26284.91,26285.91,26264.98,26278.44,210
2019-08-05 11:20:00+09:00,26279.44,26299.37,26278.94,26291.4,203
2019-08-05 11:25:00+09:00,26291.4,26293.4,26249.55,26250.55,277
2019-08-05 11:30:00+09:00,26249.05,26260.01,26247.56,26253.54,207
2019-08-05 11:35:00+09:00,26252.55,26280.95,26226.14,26270.49,334
2019-08-05 11:40:00+09:00,26269.49,26278.47,26242.59,26264.52,245
2019-08-05 11:45:00+09:00,26266.51,26271.99,26242.1,26242.1,198
2019-08-05 11:50:00+09:00,26243.1,26254.56,26235.63,26235.63,238
2019-08-05 11:55:00+09:00,26235.63,26248.58,26233.64,26238.62,206
2019-08-05 12:00:00+09:00,26239.62,26253.58,26233.15,26241.62,196
2019-08-05 12:05:00+09:00,26243.61,26247.6,26208.74,26222.69,240
2019-08-05 12:10:00+09:00,26224.68,26233.66,26216.22,26219.71,182
2019-08-05 12:15:00+09:00,26220.7,26229.68,26194.8,26201.28,227
2019-08-05 12:20:00+09:00,26200.28,26208.75,26182.34,26183.34,245
2019-08-05 12:25:00+09:00,26184.84,26196.8,26175.87,26179.86,206
