Time,Open,High,Low,Close
2012/4/9 6:0:0,12905.0,12977.0,12886.0,12919.0
2012/4/10 6:0:0,12919.0,12958.0,12708.0,12761.0
2012/4/11 6:0:0,12763.0,12843.0,12751.0,12814.0
2012/4/12 6:0:0,12812.0,13011.0,12795.0,13007.0
2012/4/13 6:0:0,13006.0,13028.0,12838.0,12843.0
2012/4/15 6:0:0,12852.0,12855.0,12824.0,12838.0
2012/4/16 6:0:0,12852.0,12988.0,12809.0,12917.0
2012/4/17 6:0:0,12919.0,13130.0,12877.0,13093.0
2012/4/18 6:0:0,13093.0,13108.0,13011.0,13021.0
2012/4/19 6:0:0,13020.0,13111.0,12895.0,12977.0
2012/4/20 6:0:0,12978.0,13084.0,12943.0,13045.0
2012/4/22 6:0:0,13021.0,13032.0,13008.0,13026.0
2012/4/23 6:0:0,13022.0,13033.0,12844.0,12932.0
2012/4/24 6:0:0,12932.0,13056.0,12927.0,13047.0
2012/4/25 6:0:0,13047.0,13108.0,13024.0,13087.0
2012/4/26 6:0:0,13087.0,13228.0,13048.0,13164.0
2012/4/27 6:0:0,13164.0,13267.0,13143.0,13220.0
2012/4/29 6:0:0,13232.0,13247.0,13227.0,13232.0
2012/4/30 6:0:0,13232.0,13252.0,13175.0,13225.0
2012/5/1 6:0:0,13225.0,13340.0,13168.0,13282.0
2012/5/2 6:0:0,13282.0,13305.0,13191.0,13257.0
2012/5/3 6:0:0,13256.0,13300.0,13174.0,13199.0
2012/5/4 6:0:0,13200.0,13221.0,13006.0,13013.0
2012/5/6 6:0:0,12932.0,12939.0,12833.0,12887.0
2012/5/7 6:0:0,12923.0,13048.0,12833.0,13020.0
2012/5/8 6:0:0,13020.0,13021.0,12806.0,12914.0
2012/5/9 6:0:0,12914.0,12924.0,12749.0,12812.0
2012/5/10 6:0:0,12813.0,12934.0,12759.0,12787.0
2012/5/11 6:0:0,12787.0,12919.0,12772.0,12822.0
2012/5/13 6:0:0,12788.0,12793.0,12756.0,12776.0
2012/5/14 6:0:0,12786.0,12831.0,12663.0,12713.0
2012/5/15 6:0:0,12714.0,12791.0,12608.0,12650.0
2012/5/16 6:0:0,12650.0,12724.0,12563.0,12626.0
2012/5/17 6:0:0,12626.0,12663.0,12427.0,12462.0
2012/5/18 6:0:0,12462.0,12499.0,12339.0,12354.0
2012/5/20 6:0:0,12363.0,12371.0,12328.0,12333.0
2012/5/21 6:0:0,12356.0,12511.0,12328.0,12509.0
2012/5/22 6:0:0,12509.0,12576.0,12447.0,12469.0
2012/5/23 6:0:0,12469.0,12507.0,12310.0,12431.0
2012/5/24 6:0:0,12431.0,12565.0,12405.0,12542.0
2012/5/25 6:0:0,12541.0,12601.0,12421.0,12447.0
2012/5/27 6:0:0,12484.0,12512.0,12484.0,12510.0
2012/5/28 6:0:0,12484.0,12544.0,12474.0,12478.0
2012/5/29 6:0:0,12478.0,12616.0,12462.0,12573.0
2012/5/30 6:0:0,12572.0,12579.0,12377.0,12393.0
2012/5/31 6:0:0,12393.0,12490.0,12318.0,12387.0
2012/6/1 6:0:0,12387.0,12387.0,12106.0,12111.0
2012/6/3 6:0:0,12116.0,12134.0,12019.0,12019.0
2012/6/4 6:0:0,12122.0,12143.0,11995.0,12093.0
